,feature
0,SUE
1,DebtsAssetRatio
2,DIF
3,TA2EV
4,EMV6
5,DDNBT
6,FY12P
7,AroonDown
8,DEA
9,FixedAssetsTRate
10,HBETA
11,DASREV
12,MLEV
13,ARBR
14,VOSC
15,FinancingCashGrowRate
16,VOL10
17,BondsPayableToAsset
18,Ulcer5
19,TRIX10
20,LongTermDebtToAsset
21,TVSTD20
22,DownRVI
23,DebtEquityRatio
24,ADTM
25,VDEA
26,BackwardADJ
27,AccountsPayablesTDays
28,BBIC
29,minusDI
30,AroonUp
31,OperCashGrowRate
32,MACD
33,DDNCR
34,SalesCostRatio
35,KlingerOscillator
36,DDNSR
37,MA10Close
38,NVI
