,feature
0,UOS
1,SwingIndex
2,PSY
3,CCI10
4,REVS5
5,ROC6
6,CCI20
7,BIAS20
8,CCI5
9,BIAS5
10,chgPct
11,ChaikinOscillator
12,RVI
13,KDJ_K
14,KDJ_J
