key,score,feature_type
BIAS5,0.571234462,obos
SWINGINDEX,0.47052519,trend
CCI5,0.431993907,obos
BIAS10,0.360789787,obos
REVS5,0.355862385,obos
CCI10,0.34537483,obos
REVS5INDU1,0.331237093,obos
ROC6,0.316170104,obos
KDJ_J,0.310381501,obos
BIAS20,0.299646657,obos
PRICE1M,0.29861201,obos
RVI,0.259141667,obos
CCI20,0.25720796,obos
REVS10,0.252159052,obos
SRMI,0.250145164,obos
KDJ_K,0.236158542,obos
PEHIST20,0.232712852,vs
PLUSDI,0.223656107,trend
RC12,0.222839936,power
RSI,0.211890646,obos
UOS,0.209872921,trend
ACD6,0.193629354,ma
REVS20,0.17695956,obos
ROC20,0.176700346,obos
PRICE3M,0.174652849,obos
ALPHA20,0.174443,return
BIAS60,0.173458874,obos
CMO,0.166848212,obos
PLRC6,0.166076815,trend
RANK1M,0.164626249,obos
MTM,0.164483749,trend
REVS20INDU1,0.162450141,obos
INFORMATIONRATIO20,0.161332585,return
SHARPERATIO20,0.160947172,return
BULLPOWER,0.158478443,power
RC24,0.152724863,power
PSY,0.14773189,power
ASI,0.142067022,trend
BEARPOWER,0.135165537,power
MFI,0.130476604,obos
DDI,0.130334477,trend
VOLUMN1M,0.128832425,obos
DIZ,0.128525144,trend
CCI88,0.128032477,obos
BR,0.126797164,power
DBCD,0.125726393,obos
CR20,0.123850029,power
VR,0.123194387,volume
KDJ_D,0.120126044,obos
ACD20,0.117244027,ma
TRIX5,0.110047927,trend
REVS60,0.103900261,obos
ALPHA60,0.103851195,return
INFORMATIONRATIO60,0.103771927,return
AR,0.103537241,power
SHARPERATIO60,0.101300663,return
TREYNORRATIO20,0.100343425,return
SKEWNESS,0.096325023,obos
MACD,0.095105304,trend
VROC6,0.087994607,volume
PRICE1Y,0.087509508,obos
VROC12,0.087252886,volume
PEHIST60,0.087204692,vs
CHAIKINOSCILLATOR,0.086106931,trend
ALPHA120,0.075243147,return
TREYNORRATIO60,0.074813889,return
REVS120,0.074364359,obos
BETA252,0.07369086,return
INFORMATIONRATIO120,0.073286081,return
SHARPERATIO120,0.07042278,return
AROON,0.067087873,trend
WVAD,0.064271894,obos
REALIZEDVOLATILITY,0.063690831,return
PLRC12,0.062917358,trend
TREYNORRATIO120,0.062483308,return
JDQS20,0.058531353,power
UPRVI,0.057073033,obos
FIFTYTWOWEEKHIGH,0.055799974,obos
ADTM,0.053274618,obos
RSTR12,0.051191539,power
COPPOCKCURVE,0.050941341,trend
REVS250,0.048891596,obos
GAINLOSSVARIANCERATIO20,0.048730021,return
CHAIKINVOLATILITY,0.047043007,trend
ELDER,0.044269475,power
VMACD,0.043330124,volume
AROONUP,0.042956924,trend
DIFF,0.040123248,trend
GAINLOSSVARIANCERATIO60,0.038960367,return
CHANDESU,0.036205701,obos
VOLUMN3M,0.035518602,obos
RSTR24,0.035328466,power
MA10REGRESSCOEFF6,0.033466742,trend
GAINLOSSVARIANCERATIO120,0.031890511,return
PEHIST120,0.028162502,vs
GAINVARIANCE20,0.02773234,return
VDIFF,0.027636671,volume
KLINGEROSCILLATOR,0.026704224,volume
MTMMA,0.026465153,trend
TRIX10,0.025562075,trend
VOSC,0.024665023,volume
LCAP,0.024393806,vs
PEHIST250,0.024227681,vs
NLSIZE,0.023768839,vs
LFLO,0.022661378,vs
MASSINDEX,0.020717184,power
REVS750,0.020699927,obos
DAVOL5,0.018091182,volume
TEMA5,0.016441263,ma
PEINDU,0.016421821,vs
PB,0.016329591,vs
PBINDU,0.015631137,vs
EMV14,0.015235461,trend
MA10REGRESSCOEFF12,0.014839613,trend
PE,0.014737967,vs
MKTVALUE,0.014603993,vs
NEGMKTVALUE,0.01455329,vs
ETP5,0.014170129,pq
TVSTD6,0.013591901,volume
DEA,0.013292006,trend
STM,0.012852842,obos
VEMA5,0.012723039,volume
CTP5,0.012686865,cf
TEMA10,0.012430085,ma
PS,0.011956584,vs
TOBT,0.011933832,power
EMV6,0.011632417,trend
ARC,0.011422087,obos
PSINDU,0.011376932,vs
OPERATINGPROFITPSLATEST,0.011258223,psi
CASHEQUIVALENTPS,0.011242742,psi
OPERATENETINCOME,0.011188975,derive
VOLATILITY,0.010543887,obos
EMA5,0.010510847,ma
NETTANGIBLEASSETS,0.010474391,derive
OPERATEPROFITTTM,0.010457861,derive
RETAINEDEARNINGS,0.010452181,derive
TEAP,0.010433194,vs
NETPROFITTTM,0.010346688,derive
NETASSETPS,0.010331655,psi
TPROFITTTM,0.010300818,derive
NIAPCUT,0.010191951,derive
RETAINEDEARNINGSPS,0.010115502,psi
NETPROFITAPTTM,0.010040549,derive
DAVOL10,0.010039492,volume
DEBTTANGIBLEEQUITYRATIO,0.009930427,sc
NIAP,0.00991872,vs
ASSI,0.009892598,vs
NPFROMOPERATINGTTM,0.009789037,derive
EBIT,0.009786499,derive
EBIAT,0.009772051,derive
OPERATINGPROFITPS,0.009658954,psi
UNDIVIDEDPROFITPS,0.009593926,psi
ROEAVG,0.009513353,pq
EPS,0.009463575,psi
DILUTEDEPS,0.009340909,psi
TOTALASSETS,0.009228306,vs
GROSSPROFIT,0.00902547,derive
GAINVARIANCE60,0.009024037,return
NPCUTTONP,0.00901617,pq
ROAEBIT,0.008709011,pq
EBITDA,0.008681854,derive
DIVIDENDPAIDRATIO,0.008613438,psi
SURPLUSRESERVEFUNDPS,0.008542084,psi
ASSETIMPAIRLOSSTTM,0.008521382,derive
GROSSPROFITTTM,0.008423061,derive
EPSTTM,0.008422869,psi
ROECUT,0.008402182,pq
ROIC,0.008397682,pq
INTFREECL,0.008384142,derive
OPERCASHINTOASSET,0.008310827,cf
MA5,0.008295678,ma
OPERATINGPROFITGROWRATE,0.008170284,growth
TREVENUETTM,0.008126118,derive
REVENUETTM,0.008122084,derive
EMA10,0.008070188,ma
DEBTEQUITYRATIO,0.008049848,sc
SHAREHOLDERFCFPS,0.008048303,psi
GROSSINCOMERATIO,0.007981561,pq
DIVIDENDPS,0.007945535,psi
TOTALPAIDINCAPITAL,0.007933344,derive
ROEWEIGHTED,0.007826848,pq
EMA12,0.007785703,ma
TOTALPROFITCOSTRATIO,0.007775559,pq
BBI,0.007626711,ma
GREV,0.007575085,af
STATICPE,0.007531568,vs
CFO2EV,0.007517115,cf
OBV,0.007360337,volume
ROEDILUTED,0.007336182,pq
REVS5M60,0.007299021,obos
SALESSERVICECASHTOORLATEST,0.007211245,cf
SALESERVICERENDERCASHTTM,0.007106808,derive
AD,0.007075968,trend
VEMA10,0.006976075,volume
TCOSTTTM,0.006951996,derive
COSTTTM,0.00694218,derive
REVS5M20,0.006839061,obos
OPERCASHINTOCURRENTLIABILITY,0.006798613,cf
NETINTEXPENSE,0.006772692,derive
MA10,0.006771004,ma
PCFINDU,0.006709188,vs
VALUECHGPROFIT,0.006705898,derive
ADMINEXPENSETTM,0.006689634,derive
EMA20,0.006664179,ma
DA,0.006642577,derive
SALESERVICECASHTOOR,0.006552507,cf
EMA26,0.006511263,ma
PVT,0.006393427,trend
BOLLDOWN,0.006346913,obos
OBV6,0.00627719,volume
OPERATINGNITOTPLATEST,0.006177717,pq
OBV20,0.006176587,volume
INTDEBT,0.006135059,derive
AD20,0.005953414,trend
AD6,0.005943198,trend
GSREV,0.005897952,af
MA20,0.00581556,ma
OPERATINGPROFITTOTOR,0.005702334,pq
INVENTORYTDAYS,0.005686474,oc
EMA60,0.005571297,ma
TOTALFIXEDASSETS,0.005530711,derive
NOCFTOTLIABILITY,0.005472895,sc
NPFROMVALUECHGTTM,0.005375972,derive
ADXR,0.005358705,trend
PVT6,0.005355949,trend
BOLLUP,0.005321792,obos
VSTD10,0.005304253,volume
PVT12,0.005285029,trend
TORPSLATEST,0.005268273,psi
OPERATINGREVENUEPSLATEST,0.005267095,psi
MA60,0.005265712,ma
VDEA,0.005225247,volume
OPERATINGPROFITRATIO,0.005215446,pq
EMA120,0.00520602,ma
PEG5Y,0.005095128,vs
MA120,0.004936286,ma
NETOPERATECFTTM,0.004933036,derive
CASHFLOWPS,0.004899679,psi
SALESEXPENSETTM,0.00489619,derive
MAWVAD,0.004738564,obos
NPTOTOR,0.004581069,pq
FINANEXPENSETTM,0.004566512,derive
INTERESTCOVER,0.004480698,sc
TSEPTOTOTALCAPITAL,0.00439705,sc
INTCL,0.004377699,derive
TORPS,0.004369252,psi
OPERATINGREVENUEPS,0.004364368,psi
NETPROFITRATIO,0.004340739,pq
ACCA,0.004303255,cf
CURRENTASSETSRATIO,0.004274699,sc
ROAEBITTTM,0.004220955,pq
ENTERPRISEFCFPS,0.004193516,psi
LONGDEBTTOASSET,0.004031013,sc
VEMA12,0.003988952,volume
NPPARENTCOMPANYCUTYOY,0.003951135,growth
CAPITALSURPLUSFUNDPS,0.00388965,psi
QUICKRATIO,0.003787538,sc
DAREV,0.003748068,af
TA2EV,0.003727488,vs
OPERCASHFLOWPS,0.003565036,psi
TAXRATIO,0.003481405,pq
RSTR504,0.003306388,power
FCFE,0.003302356,derive
WORKINGCAPITAL,0.003288161,derive
CURRENTRATIO,0.003264431,sc
NETDEBT,0.003210516,derive
CURRENTASSETSTRATE,0.003041022,oc
PCF,0.003014813,vs
ROA,0.002969076,pq
DAVOL20,0.002903245,volume
INTFREENCL,0.002864985,derive
NETPROFITCASHCOVER,0.002818586,cf
CASHTOCURRENTLIABILITY,0.002691186,cf
CASHCONVERSIONCYCLE,0.002618737,oc
NOCFTOINTERESTBEARDEBT,0.002553767,sc
NETCASHFLOWGROWRATE,0.002500318,growth
TVMA6,0.002342683,volume
OPERATINGCYCLE,0.002284127,oc
NETWORKINGCAPITAL,0.00214421,derive
EBITTOTOR,0.002120431,pq
SUPERQUICKRATIO,0.002106523,sc
FORWARDPE,0.002091777,vs
ATR6,0.002027925,obos
TANGIBLEATOINTEBEARDEBT,0.002016708,sc
DASREV,0.001894082,af
ROE,0.00182318,pq
INVESTRASSOCIATESTOTP,0.001733997,pq
PERIODCOSTSRATE,0.0017079,pq
ADMINIEXPENSERATE,0.001688552,pq
DEGM,0.001684122,growth
TOTALPROFITGROWRATE,0.001620595,growth
TSEPTOINTERESTBEARDEBT,0.00160979,sc
CASHRATEOFSALESLATEST,0.001532942,cf
NETPROFITGROWRATE,0.001510178,growth
NPPARENTCOMPANYGROWRATE,0.001467297,growth
BLEV,0.001415694,sc
OPERATINGEXPENSERATE,0.001305667,pq
OPERCASHGROWRATE,0.00127142,cf
PEG3Y,0.001254561,vs
REC,0.001222395,af
CASHRATEOFSALES,0.001196319,cf
NOCFTONETDEBT,0.001120908,sc
FINANCINGCASHGROWRATE,0.001041066,cf
ATR14,0.001027922,obos
ROE5,0.001003107,pq
GREC,0.000993818,af
DEBTSASSETRATIO,0.000922302,sc
ACCOUNTSPAYABLESTRATE,0.00091235,oc
VEMA26,0.00065538,volume
NETFINANCECFTTM,0.000530927,derive
DVRAT,0.00051747,obos
CTOP,0.000505879,cf
CASHDIVIDENDCOVER,0.000483858,psi
EARNMOM,0.000266071,growth
ARTRATE,0.000201667,oc
CETOP,0.000192144,vs
VSTD20,0.000148275,volume
INVESTRASSOCIATESTOTPLATEST,0.000105295,pq
NOCFTOOPERATINGNI,5.97E-05,cf
NRPROFITLOSS,-7.68E-05,derive
TVSTD20,-0.00038987,volume
FSALESG,-0.000408956,af
LONGDEBTTOWORKINGCAPITAL,-0.000570898,sc
BONDSPAYABLETOASSET,-0.000686161,sc
ADX,-0.000853613,trend
TOTALASSETSTRATE,-0.000909658,oc
EQUITYTOASSET,-0.000922302,sc
OPERATINGNITOTP,-0.001088293,pq
ILLIQUIDITY,-0.001147586,obos
FIXEDASSETSTRATE,-0.001249617,oc
ROECUTWEIGHTED,-0.001253035,pq
FCFF,-0.001305017,derive
EQUITYFIXEDASSETRATIO,-0.001358884,sc
SUE,-0.001420073,pq
ROA5,-0.001448255,pq
ACCOUNTSPAYABLESTDAYS,-0.001600751,oc
FIXASSETRATIO,-0.001619894,sc
GAINVARIANCE120,-0.002023865,return
EQUITYTRATE,-0.002163513,oc
OPERATINGREVENUEGROWRATE,-0.002202787,growth
NETNONOITOTPLATEST,-0.002522413,pq
INVENTORYTRATE,-0.00258385,oc
HURST,-0.002689497,trend
NOCFTOOPERATINGNILATEST,-0.002720966,cf
NETNONOITOTP,-0.002893187,pq
DAREC,-0.002902116,af
NONOPERATINGNPTTM,-0.002903317,derive
LONGTERMDEBTTOASSET,-0.002928255,sc
MLEV,-0.003026673,sc
VOL5,-0.003062601,volume
INVESTCASHGROWRATE,-0.003074994,cf
SUOI,-0.003216895,pq
PVI,-0.003231695,power
BACKWARDADJ,-0.003468446,obos
TANGIBLEATONETDEBT,-0.003533595,sc
TVMA20,-0.00362048,volume
EGIBSLONG,-0.00366474,af
MONEYFLOW20,-0.003668385,volume
NETPROFITGROWRATE3Y,-0.003680894,growth
NETINVESTCFTTM,-0.004227966,derive
NONCURRENTASSETSRATIO,-0.004274699,sc
DDNCR,-0.004379971,obos
INTEBEARDEBTTOTOTALCAPITAL,-0.004805828,sc
BETA120,-0.004837182,return
CMRA,-0.004852663,obos
NETPROFITGROWRATE5Y,-0.005119313,growth
TOTALASSETGROWRATE,-0.005227405,growth
NETASSETGROWRATE,-0.005356442,growth
KURTOSIS60,-0.005845429,return
FEARNG,-0.006154126,af
ARTDAYS,-0.006197496,oc
DHILO,-0.006235675,trend
FINANCIALEXPENSERATE,-0.006307032,pq
DASTD,-0.006654022,return
HBETA,-0.006663851,obos
NVI,-0.00710656,power
ETOP,-0.007299569,pq
BETA60,-0.007333492,return
EGRO,-0.007385939,pq
SFY12P,-0.007777096,af
SALESCOSTRATIO,-0.007981561,pq
DIVIDENDCOVER,-0.007990999,psi
KURTOSIS120,-0.008344136,return
RETAINEDEARNINGRATIO,-0.008613438,psi
VARIANCE20,-0.008776172,return
VOL10,-0.008860704,volume
VARIANCE120,-0.00954324,return
BETA20,-0.010158729,return
INTANGIBLEASSETRATIO,-0.010159505,sc
HSIGMA,-0.010592085,obos
VARIANCE60,-0.010657104,return
CMRACNE5,-0.011228377,return
KURTOSIS20,-0.011260281,return
SBM,-0.011312171,obos
OPERATINGREVENUEGROWRATE5Y,-0.011739622,growth
HSIGMACNE5,-0.01191396,return
APBMA,-0.012339922,ma
STOM,-0.012350253,volume
EPIBS,-0.012429521,af
FY12P,-0.012429521,af
OPERATINGREVENUEGROWRATE3Y,-0.01286333,growth
VOL240,-0.013086699,volume
SGRO,-0.013643941,vs
VOL20,-0.014313639,volume
VOL120,-0.014364252,volume
STOQ,-0.014933237,volume
VOL60,-0.015328326,volume
STOA,-0.015723358,volume
DDNBT,-0.016091478,obos
DDNSR,-0.016379058,obos
ARBR,-0.01781255,power
LOSSVARIANCE120,-0.02880319,return
LOSSVARIANCE60,-0.03257281,return
CHANDESD,-0.033808979,obos
LOSSVARIANCE20,-0.043771708,return
DOWNRVI,-0.051038602,obos
ULCER10,-0.055420034,trend
AROONDOWN,-0.070891652,trend
ULCER5,-0.12763349,trend
DIF,-0.130317653,trend
MINUSDI,-0.225231192,trend
MA10CLOSE,-0.415045108,ma
BBIC,-0.433525946,ma
