,key,score,feature_type
124,CCI20,0.23307798351570147,obos
125,STM,0.009026489766840963,obos
126,REVS5,0.33382337831419534,obos
127,ATR14,0.005224259471065804,obos
128,ADTM,0.03561711267160274,obos
129,BOLLDOWN,0.00030771087157256016,obos
130,REVS250,0.045884241524111725,obos
131,REVS5M60,0.010928403118673777,obos
132,BIAS10,0.3688707296267081,obos
133,CHANDESD,-0.0348831314603534,obos
134,KDJ_D,0.11657958888975437,obos
135,SBM,-0.007181724845733705,obos
136,HSIGMA,-0.003216399364856652,obos
137,FIFTYTWOWEEKHIGH,0.09118501159364324,obos
138,REVS120,0.0691516317849311,obos
139,PRICE1Y,0.0850266430958626,obos
140,DVRAT,-0.009384829550589252,obos
141,HBETA,-0.0025529989300084105,obos
142,SRMI,0.22599376114538883,obos
143,PRICE3M,0.16689269996915446,obos
144,MFI,0.10307003706756702,obos
145,MAWVAD,0.004754637675365942,obos
146,WVAD,0.056016586118553396,obos
147,RANK1M,0.152025359143056,obos
148,REVS5M20,0.012945899343326288,obos
149,ARC,0.0014712890096619912,obos
150,CCI10,0.31072024884022065,obos
151,ROC6,0.2880544249662772,obos
152,CCI88,0.11481802098398433,obos
153,REVS60,0.09579915882161162,obos
154,KDJ_J,0.30852227872549054,obos
155,REVS20INDU1,0.16467726802861615,obos
156,BIAS20,0.275734411449908,obos
157,ROC20,0.15723062472668242,obos
158,BIAS5,0.5371607284218785,obos
159,DBCD,0.1062777527119128,obos
160,ELDER,0.13757277473332755,power
161,NVI,-0.004630496789170899,power
162,RC12,0.2032140036244722,power
163,RSTR24,0.031195689175880916,power
164,RSTR12,0.04647979420608671,power
165,JDQS20,0.04018964937653926,power
166,BR,0.11918924453194486,power
167,AR,0.0879760688792225,power
168,BULLPOWER,0.16377537420428995,power
169,PVI,-0.0005489720736045165,power
170,RSTR504,-0.00047347065703988423,power
171,MASSINDEX,0.005631989915580826,power
172,PSY,0.12423523737041138,power
173,CR20,0.10943167645189394,power
174,ARBR,-0.029969680572951837,power
175,TOBT,0.007879917213823282,power
176,RC24,0.14116562467637223,power
177,BEARPOWER,0.11172003368989525,power
178,ASI,0.13792113499830952,trend
179,MINUSDI,-0.17436993190752417,trend
180,AROONDOWN,-0.03443807508528268,trend
181,HURST,-3.150739111812605e-05,trend
182,MA10REGRESSCOEFF12,-0.004969059691885436,trend
183,CHAIKINOSCILLATOR,0.08409263023890358,trend
184,DHILO,0.0005013383713317543,trend
185,PVT,0.0033087429629130283,trend
186,DIZ,0.10631981935801892,trend
187,MA10REGRESSCOEFF6,0.011359505450302712,trend
188,CHAIKINVOLATILITY,0.06612435834490527,trend
189,PLUSDI,0.20719646564796096,trend
190,DIF,-0.10704934636593084,trend
191,DIFF,0.022272568470583388,trend
192,MACD,0.09158835527751992,trend
193,COPPOCKCURVE,0.031184666035988504,trend
194,MTMMA,0.005931739926956066,trend
195,SWINGINDEX,0.4926416399877419,trend
196,DEA,-0.007259131061796821,trend
197,TRIX10,0.010907971845410331,trend
198,ADX,0.013260267771415942,trend
199,ULCER5,-0.10750025163532598,trend
200,AD,0.00319540894197881,trend
201,ADXR,0.0074619852207274415,trend
