key,score,feature_type
NPPARENTCOMPANYCUTYOY,0.003211308,growth
FSALESG,0.003198195,af
ADMINEXPENSETTM,0.003034479,derive
INTERESTCOVER,0.003024602,sc
SALESERVICERENDERCASHTTM,0.003016222,derive
CURRENTASSETSRATIO,0.002989958,sc
VARIANCE120,0.002989021,return
MKTVALUE,0.002979179,vs
EARNMOM,0.002966295,growth
NETNONOITOTPLATEST,0.002911013,pq
SALESSERVICECASHTOORLATEST,0.002828851,cf
OPERATINGPROFITRATIO,0.002815514,pq
OPERATINGPROFITTOTOR,0.002813498,pq
TANGIBLEATONETDEBT,0.00279927,sc
ETP5,0.002783601,pq
NONOPERATINGNPTTM,0.00276038,derive
AD,0.002745332,trend
TOTALPROFITCOSTRATIO,0.002702636,pq
NVI,0.002396736,power
TOTALASSETGROWRATE,0.002292357,growth
COSTTTM,0.002275992,derive
TCOSTTTM,0.002228981,derive
OBV,0.002195352,volume
HBETA,0.002184403,obos
NETPROFITRATIO,0.002047014,pq
NPTOTOR,0.002031774,pq
OPERATINGREVENUEGROWRATE5Y,0.002008714,growth
SALESERVICECASHTOOR,0.001997429,cf
MASSINDEX,0.001943449,power
EBITTOTOR,0.001911979,pq
DEBTTANGIBLEEQUITYRATIO,0.001890905,sc
OPERCASHGROWRATE,0.001770415,cf
INVENTORYTRATE,0.001765547,oc
TOTALPROFITGROWRATE,0.001742944,growth
NETPROFITGROWRATE,0.001582576,growth
NOCFTOOPERATINGNI,0.001454999,cf
PVI,0.001443142,power
TREVENUETTM,0.001435736,derive
REVENUETTM,0.001433986,derive
CASHRATEOFSALESLATEST,0.001404276,cf
BONDSPAYABLETOASSET,0.001365896,sc
TOBT,0.001357235,power
CTP5,0.001324213,cf
NETPROFITGROWRATE5Y,0.001292072,growth
EQUITYTRATE,0.001262058,oc
OPERATINGPROFITGROWRATE,0.001252503,growth
SALESCOSTRATIO,0.001242112,pq
GROSSPROFITTTM,0.001167841,derive
PEG3Y,0.001101346,vs
NPFROMVALUECHGTTM,0.001089867,derive
ACCOUNTSPAYABLESTDAYS,0.001067372,oc
ACCA,0.000898508,cf
CAPITALSURPLUSFUNDPS,0.00088864,psi
DAREC,0.000873706,af
GREC,0.000726608,af
RETAINEDEARNINGRATIO,0.000674895,psi
NETPROFITCASHCOVER,0.000674798,cf
GROSSPROFIT,0.000672828,derive
OPERATINGREVENUEGROWRATE3Y,0.000659608,growth
TOTALFIXEDASSETS,0.000615173,derive
EBIAT,0.000579427,derive
