,ret_var,ret_skew,ret_kurtosis,SECURITY_ID,TRADE_DATE,LABEL
0,111.54699419862025,21.88550743760994,476.984404507561,000001.XSHE,20190211,0.08928571428572825
1,19.845783668118454,21.88272144410458,476.90389423090136,000002.XSHE,20190211,-0.03612716763005062
2,40.52948895059002,21.884446232693325,476.95368186024973,000063.XSHE,20190211,2.253797158255761
3,721.6441458216971,21.88592768203941,476.9965976164162,000069.XSHE,20190211,1.250000000000001
4,4855.3255600615375,21.88610205466231,477.0016694656989,000100.XSHE,20190211,1.056338028169023
5,3.152797243146519e-06,0.12008980599876831,0.07001074960508147,000157.XSHE,20190211,2.6666666666666687
6,1.6094182448126785e-06,-0.30378106703212604,0.3711947268893079,000402.XSHE,20190211,0.5602240896358549
7,3.3449804059404888e-06,6.054035836033961,65.02418112057474,000408.XSHE,20190211,2.8624192059095153
8,3.7355443792912546e-06,1.525943120038238,10.358969049242376,000413.XSHE,20190211,2.8169014084507067
9,3.863692606177289e-06,0.047576888354145974,0.6661296686300413,000415.XSHE,20190211,1.7291066282420635
10,5.705714516650762e-07,-0.9455569003289781,9.33245962971239,000423.XSHE,20190211,2.040816326530616
11,5.309677844982141e-06,0.059030777863660226,-0.4368308354953525,000425.XSHE,20190211,4.216867469879522
12,8.376518263447106e-06,-0.23507152688056862,42.174877681903666,000503.XSHE,20190211,2.3076923076923084
13,1.033520173211689e-05,-1.2209711141363555,82.4237292206642,000538.XSHE,20190211,2.890316205533601
14,1.7897952635976917e-06,0.6682934597098594,6.889451516000372,000553.XSHE,20190211,0.9803921568627592
15,3.4045584369307257e-06,0.5328956086777997,2.911207883474085,000568.XSHE,20190211,6.99428571428572
16,2.0689162314530063e-06,0.006333679389494031,1.0454672730148689,000625.XSHE,20190211,1.168831168831167
17,2.1625191753920325e-06,-0.7804885519143024,4.739960486752434,000627.XSHE,20190211,0.5263157894736885
18,1.0899365674485492e-05,-0.01260430664150293,-0.7680995758734119,000630.XSHE,20190211,1.4925373134328483
19,8.489143569598476e-07,0.7393046686222448,5.227047320161322,000651.XSHE,20190211,2.645376549094374
20,3.228445996344103e-06,0.06659756021425073,1.94335034963626,000661.XSHE,20190211,3.8728234629410814
21,3.706274544193336e-06,0.029251409495180857,1.008117497227734,000671.XSHE,20190211,2.2927689594356244
22,1.6989516689779908e-06,0.14043285823217627,4.5874094942356125,000703.XSHE,20190211,0.46224961479197785
23,6.360289941052818e-06,-0.10413217819450983,2.889063940936535,000709.XSHE,20190211,1.6286644951140152
24,2.1458662510916773e-05,-1.2225922457600817,49.76266362263472,000725.XSHE,20190211,4.580152671755729
25,2.631261495752913e-06,5.964983010302967,64.34481322398615,000728.XSHE,20190211,1.5564202334630364
26,9.09507018128512e-07,0.9251314597321951,4.629336629774498,000768.XSHE,20190211,1.5547703180211934
27,3.5758464723952795e-06,-5.793821626504049,92.21696603081598,000776.XSHE,20190211,2.313030069390894
28,1.715148505536796e-06,-0.11360306036178014,0.28563644849428727,000783.XSHE,20190211,1.4732965009208117
29,3.0629124021886586e-06,1.2486357947900133,17.587747856953307,000786.XSHE,20190211,3.73317013463892
30,2.490478309545868e-06,0.18517109907443355,0.03256370462426972,000792.XSHE,20190211,2.3026315789473633
31,1.2116806832608634e-06,0.8943873667072757,3.045140390743188,000826.XSHE,20190211,2.677651905252315
32,5.4133873280096624e-06,0.36248401552457443,2.2318475983345945,000839.XSHE,20190211,2.0771513353115676
33,10.760169798512717,21.879877020452255,476.82206316149285,000858.XSHE,20190211,5.7535142203334475
34,2.835213759570124e-06,1.1454168847476778,2.627431151768949,000876.XSHE,20190211,6.524466750313682
35,2.062557308898754e-06,-0.05058207892746829,2.743227820983078,000895.XSHE,20190211,2.070888092393467
36,3.0131375966916253e-06,2.429057976147349,24.443905329456634,000898.XSHE,20190211,1.1428571428571355
37,1.5020873487574705e-06,0.8696489053594462,2.1027986134164784,000938.XSHE,20190211,5.955811719500489
38,3.1209413307591125e-06,-0.28947614677453154,1.5268426439439118,000959.XSHE,20190211,1.0152284263959401
39,5.378865266544792e-06,0.11134431339924779,2.17256257226264,000961.XSHE,20190211,8.730158730158728
40,2.635609502402929e-06,-2.0234486048991824,17.272540901141255,000963.XSHE,20190211,2.4581403633772756
41,1.9163523658439594e-06,-0.07160811208138095,-0.37169327221364545,000983.XSHE,20190211,0.5357142857142903
42,1.3911879245113177e-06,0.0720241205371235,2.7216787666437234,002001.XSHE,20190211,3.6199095022624466
43,9.716954646612018e-07,-0.5250925746694775,11.311097330815098,600000.XSHG,20190211,-0.6499535747446638
44,2.732988763113079e-06,-0.08921184239805972,5.562848077367793,600004.XSHG,20190211,4.827586206896556
45,1.5276161113980302e-06,-3.0565713733534494,26.81425379148265,600009.XSHG,20190211,1.4127144298688252
46,1.8609188225945055e-05,0.09221560559447968,-0.40424480234580384,600010.XSHG,20190211,1.3333333333333344
47,2.5207930063755582e-06,-0.048510177944883326,3.120595777124989,600011.XSHG,20190211,3.255813953488371
48,7.670061727144824e-07,0.054272562605063496,-0.5022482312416479,600015.XSHG,20190211,0.9234828496042254
49,1.6063812614653602e-06,-0.053897949541817446,0.48985853134369917,600016.XSHG,20190211,0.0
50,1.4410424939362149e-06,-0.09013267260113061,1.2630993198166598,600019.XSHG,20190211,0.28288543140027683
51,2.1936706033992173e-06,-1.0153778638594735,4.440338479187953,600028.XSHG,20190211,-0.6968641114982584
52,1.5652253832424483e-06,-0.8037507030532878,3.2733615944623002,600029.XSHG,20190211,0.9859154929577505
