date,sec_id,quantity,avg_price,market_value,pnl
2017-12-28 15:30:00,600376.XSHG,12300,9.18,112914.0,0.0
2017-12-28 15:30:00,601988.XSHG,89000,3.93,349770.0,0.0
2017-12-28 15:30:00,600111.XSHG,3500,14.81,51835.0,0.0
2017-12-28 15:30:00,000063.XSHE,1300,36.22,47086.0,0.0
2017-12-28 15:30:00,600050.XSHG,7500,6.41,48075.0,0.0
2017-12-28 15:30:00,300070.XSHE,3700,17.25,63825.0,0.0
2017-12-28 15:30:00,002415.XSHE,2500,38.6,96500.0,0.0
2017-12-28 15:30:00,600704.XSHG,1500,6.78,10170.0,0.0
2017-12-28 15:30:00,300136.XSHE,1900,50.41,95779.0,0.0
2017-12-28 15:30:00,601766.XSHG,3500,12.03,42105.0,0.0
2017-12-28 15:30:00,000959.XSHE,4400,5.89,25916.0,0.0
2017-12-28 15:30:00,601555.XSHG,38200,9.72,371304.0,0.0
2017-12-28 15:30:00,000100.XSHE,25400,3.83,97282.0,0.0
2017-12-28 15:30:00,000001.XSHE,26500,13.21,350065.0,0.0
2017-12-28 15:30:00,300124.XSHE,1100,28.67,31537.000000000004,0.0
2017-12-28 15:30:00,601718.XSHG,700,6.68,4676.0,0.0
2017-12-28 15:30:00,600583.XSHG,4900,6.14,30086.0,0.0
2017-12-28 15:30:00,600415.XSHG,4500,5.73,25785.000000000004,0.0
2017-12-28 15:30:00,603993.XSHG,7500,7.01,52575.0,0.0
2017-12-28 15:30:00,002594.XSHE,900,65.68,59112.00000000001,0.0
2017-12-28 15:30:00,000876.XSHE,1300,7.41,9633.0,0.0
2017-12-28 15:30:00,002456.XSHE,4900,20.18,98882.0,0.0
2017-12-28 15:30:00,600031.XSHG,4700,9.08,42676.0,0.0
2017-12-28 15:30:00,601669.XSHG,11600,7.22,83752.0,0.0
2017-12-28 15:30:00,002074.XSHE,1400,22.12,30968.0,0.0
2017-12-28 15:30:00,000568.XSHE,2000,66.35,132700.0,0.0
2017-12-28 15:30:00,601012.XSHG,900,36.16,32543.999999999996,0.0
2017-12-28 15:30:00,601933.XSHG,2500,10.08,25200.0,0.0
2017-12-28 15:30:00,000559.XSHE,7000,9.24,64680.0,0.0
2017-12-28 15:30:00,000625.XSHE,5100,12.62,64361.99999999999,0.0
2017-12-28 15:30:00,000069.XSHE,13500,8.39,113265.00000000001,0.0
2017-12-28 15:30:00,002304.XSHE,1100,118.22,130042.0,0.0
