date,sec_id,quantity,avg_price,market_value,pnl
2015-05-20 15:30:00,600999.XSHG,13100,33.7,441470.00000000006,0.0
2015-05-20 15:30:00,600048.XSHG,34600,12.82,443572.0,0.0
2015-05-20 15:30:00,300133.XSHE,14500,30.48,441960.0,0.0
2015-05-20 15:30:00,600518.XSHG,11800,37.39,441202.0,0.0
2015-05-20 15:30:00,002146.XSHE,21400,20.74,443835.99999999994,0.0
2015-05-20 15:30:00,600583.XSHG,32700,13.58,444066.0,0.0
2015-05-20 15:30:00,002353.XSHE,11400,38.94,443916.0,0.0
2015-05-20 15:30:00,300070.XSHE,7600,57.8,439280.0,0.0
2015-05-20 15:30:00,601318.XSHG,5100,85.57,436406.99999999994,0.0
2015-05-20 15:30:00,601169.XSHG,34100,13.02,443982.0,0.0
2015-05-20 15:30:00,600252.XSHG,17700,25.08,443915.99999999994,0.0
2015-05-20 15:30:00,600893.XSHG,6900,64.11,442359.0,0.0
2015-05-20 15:30:00,600837.XSHG,16300,27.16,442708.0,0.0
2015-05-20 15:30:00,600519.XSHG,1700,253.95,431715.0,0.0
2015-05-20 15:30:00,300058.XSHE,12600,35.2,443520.00000000006,0.0
2015-05-20 15:30:00,601668.XSHG,46000,9.65,443900.0,0.0
2015-05-20 15:30:00,600066.XSHG,0,0.0,0.0,0.0
2015-05-20 15:30:00,601988.XSHG,100000,4.44,444000.00000000006,0.0
2015-05-21 15:30:00,600999.XSHG,0,33.435,0.0,-0.0
2015-05-21 15:30:00,600048.XSHG,0,12.82,0.0,0.0
2015-05-21 15:30:00,300133.XSHE,0,30.48,0.0,0.0
2015-05-21 15:30:00,600518.XSHG,0,37.39,0.0,0.0
2015-05-21 15:30:00,002146.XSHE,19202,20.74,405546.24,7296.760000000049
2015-05-21 15:30:00,600583.XSHG,0,13.58,0.0,0.0
2015-05-21 15:30:00,002353.XSHE,0,38.94,0.0,0.0
2015-05-21 15:30:00,300070.XSHE,0,57.8,0.0,0.0
2015-05-21 15:30:00,601318.XSHG,4683,85.57,405547.8,4823.490000000005
2015-05-21 15:30:00,601169.XSHG,0,13.02,0.0,-0.0
2015-05-21 15:30:00,600252.XSHG,15353,25.08,405472.73,20419.490000000027
2015-05-21 15:30:00,600893.XSHG,6171,64.11,405496.41,9873.599999999966
2015-05-21 15:30:00,600837.XSHG,0,27.16,0.0,0.0
2015-05-21 15:30:00,600519.XSHG,1568,253.95,405469.11999999994,7275.519999999979
2015-05-21 15:30:00,300058.XSHE,0,35.2,0.0,0.0
2015-05-21 15:30:00,601668.XSHG,0,9.65,0.0,0.0
2015-05-21 15:30:00,601988.XSHG,0,4.44,0.0,0.0
2015-05-21 15:30:00,000338.XSHE,12700,31.89,405003.0,0.0
2015-05-21 15:30:00,600875.XSHG,13900,29.06,403934.0,0.0
2015-05-21 15:30:00,000503.XSHE,6500,61.73,401245.0,0.0
2015-05-21 15:30:00,002594.XSHE,0,0.0,0.0,0.0
2015-05-21 15:30:00,600188.XSHG,26800,15.13,405484.0,0.0
2015-05-21 15:30:00,000623.XSHE,9900,40.69,402831.0,0.0
2015-05-21 15:30:00,600705.XSHG,15300,26.36,403308.0,0.0
2015-05-21 15:30:00,000917.XSHE,11200,36.1,404320.0,0.0
2015-05-21 15:30:00,600153.XSHG,23700,17.06,404321.99999999994,0.0
2015-05-21 15:30:00,600109.XSHG,14300,28.2,403260.0,0.0
2015-05-21 15:30:00,600637.XSHG,5700,70.58,402306.0,0.0
2015-05-21 15:30:00,600804.XSHG,8500,47.27,401795.0,0.0
2015-05-21 15:30:00,000937.XSHE,43400,9.34,405356.0,0.0
2015-05-21 15:30:00,300024.XSHE,0,0.0,0.0,0.0
2015-05-21 15:30:00,002385.XSHE,0,0.0,0.0,0.0
