date,sec_id,quantity,avg_price,market_value,pnl
2015/7/29 15:30,600519.XSHG,2100,207.74,436254.00 ,0
2015/7/29 15:30,601898.XSHG,53400,8.32,444288.00 ,0
2015/7/29 15:30,601018.XSHG,56000,7.93,444080.00 ,0
2015/7/29 15:30,601958.XSHG,47900,9.26,443554.00 ,0
2015/7/29 15:30,002153.XSHE,3700,118.92,440004.00 ,0
2015/7/29 15:30,600893.XSHG,0,0,0.00 ,0
2015/7/29 15:30,600271.XSHG,6900,64.35,444015.00 ,0
2015/7/29 15:30,002252.XSHE,5200,84.96,441792.00 ,0
2015/7/29 15:30,601788.XSHG,20000,22.11,442200.00 ,0
2015/7/29 15:30,600637.XSHG,11700,37.97,444249.00 ,0
2015/7/29 15:30,601118.XSHG,51400,8.64,444096.00 ,0
2015/7/29 15:30,300024.XSHE,4800,91.44,438912.00 ,0
2015/7/29 15:30,600104.XSHG,22400,19.8,443520.00 ,0
2015/7/29 15:30,600570.XSHG,6100,72,439200.00 ,0
2015/7/29 15:30,600783.XSHG,16600,26.67,442722.00 ,0
2015/7/29 15:30,600309.XSHG,21400,20.69,442766.00 ,0
2015/7/29 15:30,600060.XSHG,22800,19.4,442320.00 ,0
2015/7/29 15:30,002007.XSHE,9600,46.1,442560.00 ,0
2015/7/30 15:30,600519.XSHG,0,207.74,0.00 ,0
2015/7/30 15:30,601898.XSHG,0,8.32,0.00 ,0
2015/7/30 15:30,601018.XSHG,0,7.93,0.00 ,0
2015/7/30 15:30,601958.XSHG,0,9.26,0.00 ,0
2015/7/30 15:30,002153.XSHE,0,118.92,0.00 ,0
2015/7/30 15:30,600271.XSHG,0,64.35,0.00 ,0
2015/7/30 15:30,002252.XSHE,4855,84.96,408791.00 ,-3689.8
2015/7/30 15:30,601788.XSHG,0,22.11,0.00 ,0
2015/7/30 15:30,600637.XSHG,0,37.97,0.00 ,0
2015/7/30 15:30,601118.XSHG,0,8.64,0.00 ,0
2015/7/30 15:30,300024.XSHE,4764,91.44,408751.20 ,-26868.96
2015/7/30 15:30,600104.XSHG,0,19.8,0.00 ,0
2015/7/30 15:30,600570.XSHG,6100,72,395280.00 ,-43920
2015/7/30 15:30,600783.XSHG,0,26.67,0.00 ,0
2015/7/30 15:30,600309.XSHG,0,20.69,0.00 ,0
2015/7/30 15:30,600060.XSHG,0,19.4,0.00 ,0
